LyrName,Type,Stride,OutT(W),OutT(H),OutT(D),OutT(Size),InT(W),InT(H),InT(D),InT(Size),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),WgtT(Size)
conv1_1,Convolution,1,300,300,64,5760000,300,300,3,270000,3,3,3,64,1728
relu1_1,ReLU,1,300,300,64,5760000,300,300,64,5760000,,,64,64,0
conv1_2,Convolution,1,300,300,64,5760000,300,300,64,5760000,3,3,64,64,36864
relu1_2,ReLU,1,300,300,64,5760000,300,300,64,5760000,,,64,64,0
pool1,Pooling,2,150,150,64,1440000,300,300,64,5760000,,,64,64,0
conv2_1,Convolution,1,150,150,128,2880000,150,150,64,1440000,3,3,64,128,73728
relu2_1,ReLU,1,150,150,128,2880000,150,150,128,2880000,,,128,128,0
conv2_2,Convolution,1,150,150,128,2880000,150,150,128,2880000,3,3,128,128,147456
relu2_2,ReLU,1,150,150,128,2880000,150,150,128,2880000,,,128,128,0
pool2,Pooling,2,75,75,128,720000,150,150,128,2880000,,,128,128,0
conv3_1,Convolution,1,75,75,256,1440000,75,75,128,720000,3,3,128,256,294912
relu3_1,ReLU,1,75,75,256,1440000,75,75,256,1440000,,,256,256,0
conv3_2,Convolution,1,75,75,256,1440000,75,75,256,1440000,3,3,256,256,589824
relu3_2,ReLU,1,75,75,256,1440000,75,75,256,1440000,,,256,256,0
conv3_3,Convolution,1,75,75,256,1440000,75,75,256,1440000,3,3,256,256,589824
relu3_3,ReLU,1,75,75,256,1440000,75,75,256,1440000,,,256,256,0
pool3,Pooling,2,38,38,256,369664,75,75,256,1440000,,,256,256,0
conv4_1,Convolution,1,38,38,512,739328,38,38,256,369664,3,3,256,512,1179648
relu4_1,ReLU,1,38,38,512,739328,38,38,512,739328,,,512,512,0
conv4_2,Convolution,1,38,38,512,739328,38,38,512,739328,3,3,512,512,2359296
relu4_2,ReLU,1,38,38,512,739328,38,38,512,739328,,,512,512,0
conv4_3,Convolution,1,38,38,512,739328,38,38,512,739328,3,3,512,512,2359296
relu4_3,ReLU,1,38,38,512,739328,38,38,512,739328,,,512,512,0
conv4_3_norm,Normalize,1,38,38,512,739328,38,38,512,739328,,,512,512,0
conv4_3_norm_mbox_priorbox,PriorBox,1,120,4,2,960,38,38,512,739328,,,512,2,0
conv4_3_norm_mbox_conf,Convolution,1,38,38,63,90972,38,38,512,739328,3,3,512,63,290304
conv4_3_norm_mbox_loc,Convolution,1,38,38,12,17328,38,38,512,739328,3,3,512,12,55296
pool4,Pooling,2,19,19,512,184832,38,38,512,739328,,,512,512,0
conv5_1,Convolution,1,19,19,512,184832,19,19,512,184832,3,3,512,512,2359296
relu5_1,ReLU,1,19,19,512,184832,19,19,512,184832,,,512,512,0
conv5_2,Convolution,1,19,19,512,184832,19,19,512,184832,3,3,512,512,2359296
relu5_2,ReLU,1,19,19,512,184832,19,19,512,184832,,,512,512,0
conv5_3,Convolution,1,19,19,512,184832,19,19,512,184832,3,3,512,512,2359296
relu5_3,ReLU,1,19,19,512,184832,19,19,512,184832,,,512,512,0
pool5,Pooling,1,19,19,512,184832,19,19,512,184832,,,512,512,0
fc6,Convolution,1,19,19,1024,369664,19,19,512,184832,3,3,512,1024,4718592
relu6,ReLU,1,19,19,1024,369664,19,19,1024,369664,,,1024,1024,0
fc7,Convolution,1,19,19,1024,369664,19,19,1024,369664,1,1,1024,1024,1048576
relu7,ReLU,1,19,19,1024,369664,19,19,1024,369664,,,1024,1024,0
fc7_mbox_priorbox,PriorBox,1,4,4,2,32,300,300,3,270000,,,3,2,0
fc7_mbox_conf,Convolution,1,19,19,126,45486,19,19,1024,369664,3,3,1024,126,1161216
fc7_mbox_loc,Convolution,1,19,19,24,8664,19,19,1024,369664,3,3,1024,24,221184
conv6_1,Convolution,1,19,19,256,92416,19,19,1024,369664,1,1,1024,256,262144
conv6_1_relu,ReLU,1,19,19,256,92416,19,19,256,92416,,,256,256,0
conv6_2,Convolution,2,10,10,512,51200,19,19,256,92416,3,3,256,512,1179648
conv6_2_relu,ReLU,1,10,10,512,51200,10,10,512,51200,,,512,512,0
conv6_2_mbox_priorbox,PriorBox,1,4,4,2,32,300,300,3,270000,,,3,2,0
conv6_2_mbox_conf,Convolution,1,10,10,126,12600,10,10,512,51200,3,3,512,126,580608
conv6_2_mbox_loc,Convolution,1,10,10,24,2400,10,10,512,51200,3,3,512,24,110592
conv7_1,Convolution,1,10,10,128,12800,10,10,512,51200,1,1,512,128,65536
conv7_1_relu,ReLU,1,10,10,128,12800,10,10,128,12800,,,128,128,0
conv7_2,Convolution,2,5,5,256,6400,10,10,128,12800,3,3,128,256,294912
conv7_2_relu,ReLU,1,5,5,256,6400,5,5,256,6400,,,256,256,0
conv7_2_mbox_priorbox,PriorBox,1,4,4,2,32,300,300,3,270000,,,3,2,0
conv7_2_mbox_conf,Convolution,1,5,5,126,3150,5,5,256,6400,3,3,256,126,290304
conv7_2_mbox_loc,Convolution,1,5,5,24,600,5,5,256,6400,3,3,256,24,55296
conv8_1,Convolution,1,5,5,128,3200,5,5,256,6400,1,1,256,128,32768
conv8_1_relu,ReLU,1,5,5,128,3200,5,5,128,3200,,,128,128,0
conv8_2,Convolution,2,3,3,256,2304,5,5,128,3200,3,3,128,256,294912
conv8_2_relu,ReLU,1,3,3,256,2304,3,3,256,2304,,,256,256,0
conv8_2_mbox_priorbox,PriorBox,1,4,4,2,32,300,300,3,270000,,,3,2,0
conv8_2_mbox_conf,Convolution,1,3,3,126,1134,3,3,256,2304,3,3,256,126,290304
conv8_2_mbox_loc,Convolution,1,3,3,24,216,3,3,256,2304,3,3,256,24,55296
pool6,Pooling,3,1,1,256,256,3,3,256,2304,,,256,256,0
pool6_mbox_priorbox,PriorBox,1,4,4,2,32,1,1,256,256,,,256,2,0
pool6_mbox_conf,Convolution,1,1,1,126,126,1,1,256,256,3,3,256,126,290304
mbox_conf_softmax,Softmax,1,1,21,7308,153468,1,21,7308,153468,,,7308,7308,0
pool6_mbox_loc,Convolution,1,1,1,24,24,1,1,256,256,3,3,256,24,55296