LyrName,Type,Stride(W),Stride(H),OutT(W),OutT(H),OutT(D),OutT(Size),InT(W),InT(H),InT(D),InT(Size),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),WgtT(Size),AccWeights,DepthWise,Group,InDatatype,OutDatatype,WgtDatatype
Conv_0,Convolution,2,2,112,112,16,200704,224,224,3,150528,3,3,3,16,432,432,0,1,int8,int8,int8
Conv_1_1,Convolution,1,1,112,112,16,200704,112,112,16,200704,1,1,16,16,256,688,0,1,int8,int8,int8
Conv_DW_1_2,Convolution,1,1,112,112,16,200704,112,112,16,200704,3,3,16,16,144,832,1,16,int8,int8,int8
Conv_1_3,Convolution,1,1,112,112,16,200704,112,112,16,200704,1,1,16,16,256,"1,088",0,1,int8,int8,int8
Add,Eltwise Add,,,112,112,16,200704,112,112,16,200704,,,,,,,,1,int8,int8,int8
Conv_2_1,Convolution,1,1,112,112,64,802816,112,112,16,200704,1,1,16,64,"1,024","2,112",0,1,int8,int8,int8
Conv_DW_2_2,Convolution,2,2,56,56,64,200704,112,112,64,802816,3,3,64,64,576,"2,688",1,64,int8,int8,int8
Conv_2_3,Convolution,1,1,56,56,24,75264,56,56,64,200704,1,1,64,24,"1,536","4,224",0,1,int8,int8,int8
Conv_3_1,Convolution,1,1,56,56,72,225792,56,56,24,75264,1,1,24,72,"1,728","5,952",0,1,int8,int8,int8
Conv_DW_3_2,Convolution,1,1,56,56,72,225792,56,56,72,225792,3,3,72,72,648,"6,600",1,72,int8,int8,int8
Conv_3_3,Convolution,1,1,56,56,24,75264,56,56,72,225792,1,1,72,24,"1,728","8,328",0,1,int8,int8,int8
Add_3,Eltwise Add,,,56,56,24,75264,56,56,24,75264,,,,,,,,1,int8,int8,int8
Conv_4_1,Convolution,1,1,56,56,72,225792,56,56,24,75264,1,1,24,72,"1,728","10,056",0,1,int8,int8,int8
Conv_4_DW_2,Convolution,2,2,28,28,72,56448,56,56,72,225792,5,5,72,72,"1,800","11,856",1,72,int8,int8,int8
Global Average Pooling_4,Pooling,,,1,1,72,72,28,28,72,56448,,,,,,,,1,int8,int8,int8
FC_4_1,Convolution,1,1,1,1,18,18,1,1,72,72,1,1,72,18,"1,296","13,152",0,1,int8,int8,int8
FC_4_2,Convolution,1,1,1,1,72,72,1,1,18,18,1,1,18,72,"1,296","14,448",0,1,int8,int8,int8
Mul_4,Eltwise Mul,,,28,28,72,56448,28,28,72,56448,,,,,,,,1,int8,int8,int8
ReLU6_4,ReLU6,,,28,28,72,56448,28,28,72,56448,,,,,,,,,int8,int8,int8
Conv_4_3,Convolution,1,1,28,28,40,31360,28,28,72,56448,1,1,72,40,"2,880","17,328",0,1,int8,int8,int8
Conv_5_1,Convolution,1,1,28,28,120,94080,28,28,40,31360,1,1,40,120,"4,800","22,128",0,1,int8,int8,int8
Conv_5_DW_2,Convolution,1,1,28,28,120,94080,28,28,120,94080,5,5,120,120,"3,000","25,128",1,120,int8,int8,int8
Global Average Pooling_5,Pooling,,,1,1,120,120,28,28,120,94080,,,,,,,,1,int8,int8,int8
FC_5_1,Convolution,1,1,1,1,30,30,1,1,120,120,1,1,120,30,"3,600","28,728",0,1,int8,int8,int8
FC_5_2,Convolution,1,1,1,1,120,120,1,1,30,30,1,1,30,120,"3,600","32,328",0,1,int8,int8,int8
Mul_5,Eltwise Mul,,,28,28,120,94080,28,28,120,94080,,,,,,,,1,int8,int8,int8
ReLU6_5,ReLU6,,,28,28,120,94080,28,28,120,94080,,,,,,,,,int8,int8,int8
Conv_5_3,Convolution,1,1,28,28,40,31360,28,28,120,94080,1,1,120,40,"4,800","37,128",0,1,int8,int8,int8
Add_5,Eltwise Add,,,28,28,40,31360,28,28,40,31360,,,,,,,,1,int8,int8,int8
Conv_6_1,Convolution,1,1,28,28,120,94080,28,28,40,31360,1,1,40,120,"4,800","41,928",0,1,int8,int8,int8
Conv_6_DW_2,Convolution,1,1,28,28,120,94080,28,28,120,94080,5,5,120,120,"3,000","44,928",1,120,int8,int8,int8
Global Average Pooling_6,Pooling,,,1,1,120,120,28,28,120,94080,,,,,,,,1,int8,int8,int8
FC_6_1,Convolution,1,1,1,1,30,30,1,1,120,120,1,1,120,30,"3,600","48,528",0,1,int8,int8,int8
FC_6_2,Convolution,1,1,1,1,120,120,1,1,30,30,1,1,30,120,"3,600","52,128",0,1,int8,int8,int8
Mul_6,Eltwise Mul,,,28,28,120,94080,28,28,120,94080,,,,,,,,1,int8,int8,int8
ReLU6_6,ReLU6,,,28,28,120,94080,28,28,120,94080,,,,,,,,1,int8,int8,int8
Conv_6_3,Convolution,1,1,28,28,40,31360,28,28,120,94080,1,1,120,40,"4,800","56,928",0,1,int8,int8,int8
Add_6,Eltwise Add,,,28,28,40,31360,28,28,40,31360,,,,,,,,1,int8,int8,int8
Conv_7_1,Convolution,1,1,28,28,240,188160,28,28,40,31360,1,1,40,240,"9,600","66,528",0,1,int8,int8,int8
Conv_7_DW_2,Convolution,2,2,14,14,240,47040,28,28,240,188160,3,3,240,240,"2,160","68,688",1,240,int8,int8,int8
Conv_7_3,Convolution,1,1,14,14,80,15680,14,14,240,47040,1,1,240,80,"19,200","87,888",0,1,int8,int8,int8
Conv_8_1,Convolution,1,1,14,14,200,39200,14,14,80,15680,1,1,80,200,"16,000","103,888",0,1,int8,int8,int8
Conv_8_DW_2,Convolution,1,1,14,14,200,39200,14,14,200,39200,3,3,200,200,"1,800","105,688",1,200,int8,int8,int8
Conv_8_3,Convolution,1,1,14,14,80,15680,14,14,200,39200,1,1,200,80,"16,000","121,688",0,1,int8,int8,int8
Add_8,Eltwise Add,,,14,14,80,15680,14,14,80,15680,,,,,,,,1,int8,int8,int8
Conv_9_1,Convolution,1,1,14,14,184,36064,14,14,80,15680,1,1,80,184,"14,720","136,408",0,1,int8,int8,int8
Conv_9_DW_2,Convolution,1,1,14,14,184,36064,14,14,184,36064,3,3,184,184,"1,656","138,064",1,184,int8,int8,int8
Conv_9_3,Convolution,1,1,14,14,80,15680,14,14,184,36064,1,1,184,80,"14,720","152,784",0,1,int8,int8,int8
Add_9,Eltwise Add,,,14,14,80,15680,14,14,80,15680,,,,,,,,1,int8,int8,int8
Conv_10_1,Convolution,1,1,14,14,184,36064,14,14,80,15680,1,1,80,184,"14,720","167,504",0,1,int8,int8,int8
Conv_10_DW_2,Convolution,1,1,14,14,184,36064,14,14,184,36064,3,3,184,184,"1,656","169,160",1,184,int8,int8,int8
Conv_10_3,Convolution,1,1,14,14,80,15680,14,14,184,36064,1,1,184,80,"14,720","183,880",0,1,int8,int8,int8
Add_10,Eltwise Add,,,14,14,80,15680,14,14,80,15680,,,,,,,,1,int8,int8,int8
Conv_11_1,Convolution,1,1,14,14,184,36064,14,14,80,15680,1,1,80,184,"14,720","198,600",0,1,int8,int8,int8
Conv_11_DW_2,Convolution,1,1,14,14,184,36064,14,14,184,36064,3,3,184,184,"1,656","200,256",1,184,int8,int8,int8
Global Average Pooling_11,Pooling,,,1,1,184,184,14,14,184,36064,,,,,,,,1,int8,int8,int8
FC_11_1,Convolution,1,1,1,1,46,46,1,1,184,184,1,1,184,46,"8,464","208,720",0,1,int8,int8,int8
FC_11_2,Convolution,1,1,1,1,184,184,1,1,46,46,1,1,46,184,"8,464","217,184",0,1,int8,int8,int8
Mul_11,Eltwise Mul,,,14,14,184,36064,14,14,184,36064,,,184,184,,,,1,int8,int8,int8
HSwish_11,HSwish,,,14,14,184,36064,14,14,184,36064,,,184,184,,,,1,int8,int8,int8
Conv_11_3,Convolution,1,1,14,14,112,21952,14,14,184,36064,1,1,184,112,"20,608","237,792",0,1,int8,int8,int8
Conv_11_r_1,Convolution,1,1,14,14,112,21952,14,14,80,15680,1,1,80,112,"8,960","246,752",0,1,int8,int8,int8
Add_11,Eltwise Add,,,14,14,112,21952,14,14,112,21952,,,,,,,,1,int8,int8,int8
Conv_12_1,Convolution,1,1,14,14,672,131712,14,14,112,21952,1,1,112,672,"75,264","322,016",0,1,int8,int8,int8
Conv_12_DW_2,Convolution,1,1,14,14,672,131712,14,14,672,131712,3,3,672,672,"6,048","328,064",1,672,int8,int8,int8
Global Average Pooling_12,Pooling,,,1,1,672,672,14,14,672,131712,,,,,,,,1,int8,int8,int8
FC_12_1,Convolution,1,1,1,1,168,168,1,1,672,672,1,1,672,168,"112,896","440,960",0,1,int8,int8,int8
FC_12_2,Convolution,1,1,1,1,672,672,1,1,168,168,1,1,168,672,"112,896","553,856",0,1,int8,int8,int8
Mul_12,Eltwise Mul,,,14,14,672,131712,14,14,672,131712,,,,,,,,1,int8,int8,int8
HSwish_12,HSwish,,,14,14,672,131712,14,14,672,131712,,,,,,,,1,int8,int8,int8
Conv_12_3,Convolution,1,1,14,14,112,21952,14,14,672,131712,1,1,672,112,"75,264","629,120",0,1,int8,int8,int8
Add_12,Eltwise Add,,,14,14,112,21952,14,14,112,21952,,,,,,,,1,int8,int8,int8
Conv_13_1,Convolution,1,1,14,14,672,131712,14,14,112,21952,1,1,112,672,"75,264","704,384",0,1,int8,int8,int8
Conv_13_DW_2,Convolution,2,2,7,7,672,32928,14,14,672,131712,5,5,672,672,"16,800","721,184",1,672,int8,int8,int8
Global Average Pooling_13,Pooling,,,1,1,672,672,7,7,672,32928,,,,,,,,1,int8,int8,int8
FC_13_1,Convolution,1,1,1,1,168,168,1,1,672,672,1,1,672,168,"112,896","834,080",0,1,int8,int8,int8
FC_13_2,Convolution,1,1,1,1,672,672,1,1,168,168,1,1,168,672,"112,896","946,976",0,1,int8,int8,int8
Mul_13,Eltwise Mul,,,7,7,672,32928,7,7,672,32928,,,,,,,,1,int8,int8,int8
HSwish_13,HSwish,,,7,7,672,32928,7,7,672,32928,,,,,,,,1,int8,int8,int8
Conv_13_3,Convolution,1,1,7,7,160,7840,7,7,672,32928,1,1,672,160,"107,520","1,054,496",0,1,int8,int8,int8
Conv_14_1,Convolution,1,1,7,7,960,47040,7,7,160,7840,1,1,160,960,"153,600","1,208,096",0,1,int8,int8,int8
Conv_14_DW_2,Convolution,1,1,7,7,960,47040,7,7,960,47040,5,5,960,960,"24,000","1,232,096",1,960,int8,int8,int8
Global Average Pooling_14,Pooling,,,1,1,960,960,7,7,960,47040,,,,,,,,1,int8,int8,int8
FC_14_1,Convolution,1,1,1,1,240,240,1,1,960,960,1,1,960,240,"230,400","1,462,496",0,1,int8,int8,int8
FC_14_2,Convolution,1,1,1,1,960,960,1,1,240,240,1,1,240,960,"230,400","1,692,896",0,1,int8,int8,int8
Mul_14,Eltwise Mul,,,7,7,960,47040,7,7,960,47040,,,,,,,,1,int8,int8,int8
HSwish_14,HSwish,,,7,7,960,47040,7,7,960,47040,,,,,,,,1,int8,int8,int8
Conv_14_3,Convolution,1,1,7,7,160,7840,7,7,960,47040,1,1,960,160,"153,600","1,846,496",0,1,int8,int8,int8
Add_14,Eltwise Add,,,7,7,160,7840,7,7,160,7840,,,,,,,,1,int8,int8,int8
Conv_15_1,Convolution,1,1,7,7,960,47040,7,7,160,7840,1,1,160,960,"153,600","2,000,096",0,1,int8,int8,int8
Conv_15_DW_2,Convolution,1,1,7,7,960,47040,7,7,960,47040,5,5,960,960,"24,000","2,024,096",1,960,int8,int8,int8
Global Average Pooling_15,Pooling,,,1,1,960,960,7,7,960,47040,,,,,,,,1,int8,int8,int8
FC_15_1,Convolution,1,1,1,1,240,240,1,1,960,960,1,1,960,240,"230,400","2,254,496",0,1,int8,int8,int8
FC_15_2,Convolution,1,1,1,1,960,960,1,1,240,240,1,1,240,960,"230,400","2,484,896",0,1,int8,int8,int8
Mul_15,Eltwise Mul,,,7,7,960,47040,7,7,960,47040,,,,,,,,1,int8,int8,int8
HSwish_15,HSwish,,,7,7,960,47040,7,7,960,47040,,,,,,,,1,int8,int8,int8
Conv_15_3,Convolution,1,1,7,7,160,7840,7,7,960,47040,1,1,960,160,"153,600","2,638,496",0,1,int8,int8,int8
Add_15,Eltwise Add,,,7,7,160,7840,7,7,160,7840,,,,,,,,1,int8,int8,int8
Conv_16,Convolution,1,1,7,7,960,47040,7,7,160,7840,1,1,160,960,"153,600","2,792,096",0,1,int8,int8,int8
Global Average Pooling,Pooling,,,1,1,960,960,7,7,960,47040,,,,,,,,1,int8,int8,int8
Conv_17,Convolution,1,1,1,1,1280,1280,1,1,960,960,1,1,960,1280,"1,228,800","4,020,896",0,1,int8,int8,int8
Conv_18,Convolution,1,1,1,1,1000,1000,1,1,1280,1280,1,1,1280,1000,"1,280,000","5,300,896",0,1,int8,int8,int8
SoftMax,Softmax,,,1,1,1280,1280,1,1,1280,1280,,,,,,,,,int8,int8,int8