#LyrName,Type,InT(W),InT(H),InT(D),OutT(W),OutT(H),OutT(D),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),InDataType,OutDataType,Repeat
#Attention Head,,,,,,,,,,,,,,
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
Softmax S,SoftMax,6144,384,1,384,384,1,,,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul V,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
MatMul S.V,MatMul-SIMD,,,1,384,64,1,384,64,1,,Int8,Int8,16
#FFN,,,,,,,,,,,,,,
FC1,MatMul,384,1024,1,384,1024,,1024,1024,1,,Int8,Int8,1
Add A,Add,384,1024,1,384,1024,,,,1,,Int8,Int8,1
LRN L,LayerNorm,384,1024,1,384,1024,,,,1,,Int8,Int8,1
FC2,MatMul,384,1024,1,384,4096,,1024,4096,1,,Int8,Int8,1
GeLU G,GeLU,,,1,384,4096,,,,1,,Int8,Int8,1
FC3,MatMul,,,1,384,1024,,4096,1024,1,,Int8,Int8,1
ADD B,Add,384,1024,1,384,1024,,,,1,,Int8,Int8,1
LRN R,LayerNorm,384,1024,1,384,1024,,,,1,,Int8,Int8,1
