LayerName,LayerType,InD,InW,InH,OutD,OutW,OutH,Kersize,Stride
conv0,Convolution,3,300,300,32,150,150,3,2
conv0/relu,ReLU,32,150,150,32,150,150,,
conv1/dw,Convolution,32,150,150,32,150,150,3,1
conv1/dw/relu,ReLU,32,150,150,32,150,150,,
conv1,Convolution,32,150,150,64,150,150,1,1
conv1/relu,ReLU,64,150,150,64,150,150,,
conv2/dw,Convolution,64,150,150,64,75,75,3,1
conv2/dw/relu,ReLU,64,75,75,64,75,75,,
conv2,Convolution,64,75,75,128,75,75,1,1
conv2/relu,ReLU,128,75,75,128,75,75,,
conv3/dw,Convolution,128,75,75,128,75,75,3,1
conv3/dw/relu,ReLU,128,75,75,128,75,75,,
conv3,Convolution,128,75,75,128,75,75,1,1
conv3/relu,ReLU,128,75,75,128,75,75,,
conv4/dw,Convolution,128,75,75,128,38,38,3,2
conv4/dw/relu,ReLU,128,38,38,128,38,38,,
conv4,Convolution,128,38,38,256,38,38,1,1
conv4/relu,ReLU,256,38,38,256,38,38,,
conv5/dw,Convolution,256,38,38,256,38,38,3,1
conv5/dw/relu,ReLU,256,38,38,256,38,38,,
conv5,Convolution,256,38,38,256,38,38,1,1
conv5/relu,ReLU,256,38,38,256,38,38,,
conv6/dw,Convolution,256,38,38,256,19,19,3,1
conv6/dw/relu,ReLU,256,19,19,256,19,19,,
conv6,Convolution,256,19,19,512,19,19,1,1
conv6/relu,ReLU,512,19,19,512,19,19,,
conv7/dw,Convolution,512,19,19,512,19,19,3,1
conv7/dw/relu,ReLU,512,19,19,512,19,19,,
conv7,Convolution,512,19,19,512,19,19,1,1
conv7/relu,ReLU,512,19,19,512,19,19,,
conv8/dw,Convolution,512,19,19,512,19,19,3,1
conv8/dw/relu,ReLU,512,19,19,512,19,19,,
conv8,Convolution,512,19,19,512,19,19,1,1
conv8/relu,ReLU,512,19,19,512,19,19,,
conv9/dw,Convolution,512,19,19,512,19,19,3,1
conv9/dw/relu,ReLU,512,19,19,512,19,19,,
conv9,Convolution,512,19,19,512,19,19,1,1
conv9/relu,ReLU,512,19,19,512,19,19,,
conv10/dw,Convolution,512,19,19,512,19,19,3,1
conv10/dw/relu,ReLU,512,19,19,512,19,19,,
conv10,Convolution,512,19,19,512,19,19,1,1
conv10/relu,ReLU,512,19,19,512,19,19,,
conv11/dw,Convolution,512,19,19,512,19,19,3,1
conv11/dw/relu,ReLU,512,19,19,512,19,19,,
conv11,Convolution,512,19,19,512,19,19,1,1
conv11/relu,ReLU,512,19,19,512,19,19,,
conv11_mbox_priorbox,PriorBox,3,300,300,2,240,4,,
conv11_mbox_conf,Convolution,512,19,19,63,19,19,1,75
conv11_mbox_conf_perm,Permute,63,19,19,19,63,19,,
conv11_mbox_conf_flat,Flatten,19,63,19,22743,1,1,,
conv11_mbox_loc,Convolution,512,19,19,12,19,19,1,19
conv11_mbox_loc_perm,Permute,12,19,19,19,12,19,,
conv11_mbox_loc_flat,Flatten,19,12,19,4332,1,1,,
conv12/dw,Convolution,512,19,19,512,10,10,3,2
conv12/dw/relu,ReLU,512,10,10,512,10,10,,
conv12,Convolution,512,10,10,1024,10,10,1,1
conv12/relu,ReLU,1024,10,10,1024,10,10,,
conv13/dw,Convolution,1024,10,10,1024,10,10,3,1
conv13/dw/relu,ReLU,1024,10,10,1024,10,10,,
conv13,Convolution,1024,10,10,1024,10,10,1,1
conv13/relu,ReLU,1024,10,10,1024,10,10,,
conv13_mbox_priorbox,PriorBox,3,300,300,2,4,4,,
conv13_mbox_conf,Convolution,1024,10,10,126,10,10,1,75
conv13_mbox_conf_perm,Permute,126,10,10,10,126,10,,
conv13_mbox_conf_flat,Flatten,10,126,10,12600,1,1,,
conv13_mbox_loc,Convolution,1024,10,10,24,10,10,1,10
conv13_mbox_loc_perm,Permute,24,10,10,10,24,10,,
conv13_mbox_loc_flat,Flatten,10,24,10,2400,1,1,,
conv14_1,Convolution,1024,10,10,256,10,10,1,10
conv14_1/relu,ReLU,256,10,10,256,10,10,,
conv14_2,Convolution,256,10,10,512,5,5,3,1
conv14_2/relu,ReLU,512,5,5,512,5,5,,
conv14_2_mbox_priorbox,PriorBox,3,300,300,2,4,4,,
conv14_2_mbox_conf,Convolution,512,5,5,126,5,5,1,75
conv14_2_mbox_conf_perm,Permute,126,5,5,5,126,5,,
conv14_2_mbox_conf_flat,Flatten,5,126,5,3150,1,1,,
conv14_2_mbox_loc,Convolution,512,5,5,24,5,5,1,5
conv14_2_mbox_loc_perm,Permute,24,5,5,5,24,5,,
conv14_2_mbox_loc_flat,Flatten,5,24,5,600,1,1,,
conv15_1,Convolution,512,5,5,128,5,5,1,5
conv15_1/relu,ReLU,128,5,5,128,5,5,,
conv15_2,Convolution,128,5,5,256,3,3,3,2
conv15_2/relu,ReLU,256,3,3,256,3,3,,
conv15_2_mbox_priorbox,PriorBox,3,300,300,2,4,4,,
conv15_2_mbox_conf,Convolution,256,3,3,126,3,3,1,75
conv15_2_mbox_conf_perm,Permute,126,3,3,3,126,3,,
conv15_2_mbox_conf_flat,Flatten,3,126,3,1134,1,1,,
conv15_2_mbox_loc,Convolution,256,3,3,24,3,3,1,3
conv15_2_mbox_loc_perm,Permute,24,3,3,3,24,3,,
conv15_2_mbox_loc_flat,Flatten,3,24,3,216,1,1,,
conv16_1,Convolution,256,3,3,128,3,3,1,3
conv16_1/relu,ReLU,128,3,3,128,3,3,,
conv16_2,Convolution,128,3,3,256,2,2,3,2
conv16_2/relu,ReLU,256,2,2,256,2,2,,
conv16_2_mbox_priorbox,PriorBox,3,300,300,2,4,4,,
conv16_2_mbox_conf,Convolution,256,2,2,126,2,2,1,75
conv16_2_mbox_conf_perm,Permute,126,2,2,2,126,2,,
conv16_2_mbox_conf_flat,Flatten,2,126,2,504,1,1,,
conv16_2_mbox_loc,Convolution,256,2,2,24,2,2,1,2
conv16_2_mbox_loc_perm,Permute,24,2,2,2,24,2,,
conv16_2_mbox_loc_flat,Flatten,2,24,2,96,1,1,,
conv17_1,Convolution,256,2,2,64,2,2,1,2
conv17_1/relu,ReLU,64,2,2,64,2,2,,
conv17_2,Convolution,64,2,2,128,1,1,3,1
conv17_2/relu,ReLU,128,1,1,128,1,1,,
conv17_2_mbox_priorbox,PriorBox,3,300,300,2,4,4,,
mbox_priorbox,Concat,12,240,4,12,240,4,,
conv17_2_mbox_conf,Convolution,128,1,1,126,1,1,1,1
conv17_2_mbox_conf_perm,Permute,126,1,1,1,126,1,,
conv17_2_mbox_conf_flat,Flatten,1,126,1,126,1,1,,
mbox_conf,Concat,40257,1,1,40257,1,1,,
mbox_conf_reshape,Reshape,40257,1,1,1917,1,21,,
mbox_conf_softmax,Softmax,1917,1,21,1917,1,21,,
mbox_conf_flatten,Flatten,1917,1,21,40257,1,1,,
conv17_2_mbox_loc,Convolution,128,1,1,24,1,1,1,21
conv17_2_mbox_loc_perm,Permute,24,1,1,1,24,1,,
conv17_2_mbox_loc_flat,Flatten,1,24,1,24,1,1,,
mbox_loc,Concat,7668,1,1,7668,1,1,,