LyrName,LyrType,OutD,OutW,OutH,InD,InW,InH,KerSize
conv1_1,Convolution,3,224,224,64,224,224,3
relu1_1,ReLU,64,224,224,64,224,224,
conv1_2,Convolution,64,224,224,64,224,224,3
relu1_2,ReLU,64,224,224,64,224,224,
pool1,Pooling,64,224,224,64,112,112,
conv2_1,Convolution,64,112,112,128,112,112,3
relu2_1,ReLU,128,112,112,128,112,112,
conv2_2,Convolution,128,112,112,128,112,112,3
relu2_2,ReLU,128,112,112,128,112,112,
pool2,Pooling,128,112,112,128,56,56,
conv3_1,Convolution,128,56,56,256,56,56,3
relu3_1,ReLU,256,56,56,256,56,56,
conv3_2,Convolution,256,56,56,256,56,56,3
relu3_2,ReLU,256,56,56,256,56,56,
conv3_3,Convolution,256,56,56,256,56,56,3
relu3_3,ReLU,256,56,56,256,56,56,
pool3,Pooling,256,56,56,256,28,28,
conv4_1,Convolution,256,28,28,512,28,28,3
relu4_1,ReLU,512,28,28,512,28,28,
conv4_2,Convolution,512,28,28,512,28,28,3
relu4_2,ReLU,512,28,28,512,28,28,
conv4_3,Convolution,512,28,28,512,28,28,3
relu4_3,ReLU,512,28,28,512,28,28,
pool4,Pooling,512,28,28,512,14,14,
conv5_1,Convolution,512,14,14,512,14,14,3
relu5_1,ReLU,512,14,14,512,14,14,
conv5_2,Convolution,512,14,14,512,14,14,3
relu5_2,ReLU,512,14,14,512,14,14,
conv5_3,Convolution,512,14,14,512,14,14,3
relu5_3,ReLU,512,14,14,512,14,14,
rpn_relu/3x3,ReLU,512,14,14,512,14,14,
rpn_bbox_pred,Convolution,512,14,14,48,14,14,1
rpn_cls_score,Convolution,512,14,14,24,14,14,1
rpn_cls_prob,Softmax,2,14,168,2,14,168,
roi_pool5,ROIPooling,512,14,14,512,7,7,
fc6,InnerProduct,512,7,7,4096,1,1,7
relu6,ReLU,4096,1,1,4096,1,1,
fc7,InnerProduct,4096,1,1,4096,1,1,1
relu7,ReLU,4096,1,1,4096,1,1,
bbox_pred,InnerProduct,4096,1,1,324,1,1,1
cls_score,InnerProduct,4096,1,1,81,1,1,1
cls_prob,Softmax,81,1,1,81,1,1,